,T5_570,T5_571,T5_572,T5_573,T5_574,T5_575,T5_576,T5_577,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586
Treatment,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
s_Pseudobutyrivibrio_ruminis,26,59,153,24,33,20,21,40,13,115,20,11,4,222,1214,12
s_Parabacteroides_goldsteinii,39,21,115,51,39,34,42,17,93,97,111,197,118,94,35,56
s_Lactobacillus_reuteri,2199,14421,15827,61204,4736,14042,7895,2017,5335,112840,55887,51127,3723,43792,36821,75536
s_Lactobacillus_murinus,221,476,200,251,288,350,385,131,194,318,576,338,124,299,44,394
s_Lactobacillus_johnsonii,1148,1834,1983,7940,1338,2367,1258,862,1306,14540,5008,3590,1468,3015,2936,4134
s_Lactobacillus_gasseri,978,1072,1216,3590,903,1420,1017,640,930,4536,1925,2065,1115,1607,1686,1553
s_Lactobacillus_animalis,58,119,63,62,85,98,141,41,66,103,213,87,43,91,8,129
s_Lachnospiraceae_bacterium_14-2,67,110,122,49,56,35,91,401,73,129,91,56,47,81,496,32
s_Akkermansia_muciniphila,8181,4851,13613,20925,4154,4185,3007,2637,3975,88167,24424,44874,99117,6903,3526,64129
s_Agathobacter_ruminis,13,32,25,14,5,8,9,46,11,82,9,21,11,110,722,0
s_Vibrio_sp._2521-89,86,128,90,75,73,84,59,99,121,121,71,110,73,152,789,52
s_Thermocrinis_minervae,111,126,156,116,85,92,188,137,124,134,136,148,101,163,518,103
s_Paenibacillus_sp._IHB_B_3084,819,1058,1418,847,832,698,875,1178,991,1176,1129,1427,752,1766,7187,638
s_Corynebacterium_uterequi,573,705,936,835,1021,778,702,648,745,781,699,720,1021,687,327,859
s_Borrelia_anserina,185,182,147,158,119,145,138,86,163,130,130,201,175,179,678,89
s_Bacteroides_vulgatus,63900,43849,54755,118387,120711,78536,146952,51957,140249,48898,77156,85162,168766,104886,17341,224849
s_Lactobacillus_amylolyticus,274,323,414,935,262,392,285,262,298,4099,1240,472,251,323,512,467
s_Lactobacillus_acidophilus,353,420,498,1337,333,444,414,315,327,5479,1728,834,370,423,371,793
s_Candidatus_Arthromitus_sp._SFB-mouse-NL,263,1026,981,1044,743,415,1616,1652,406,7,20,779,739,7,7,656
s_Candidatus_Arthromitus_sp._SFB-mouse,399,1381,1129,1397,1018,581,2194,2163,567,39,51,936,867,18,114,893
s_Acetobacter_sp._SLV-7,31,47,80,34,33,20,53,89,31,92,29,70,21,114,609,34
s_Roseburia_inulinivorans,261,332,319,161,172,143,255,385,286,152,208,469,125,274,1408,108
s_Faecalibaculum_rodentium,24010,34980,152101,134977,28361,71805,20502,6743,6951,153470,62667,131110,44679,12362,3972,14920
s_Entomoplasma_freundtii,109,114,91,66,47,79,60,87,66,93,61,135,122,121,568,56
s_Chlamydia_caviae,103,154,112,83,88,70,37,98,104,88,105,224,89,74,382,66
s_Bifidobacterium_pseudolongum,99410,217502,182809,159523,213613,338702,12033,2935,195005,116132,29967,56102,17936,128506,9123,285975
α-Hyodeoxycholic acid methyl ester ,0,0,0,0,0,0,0,0,4451,0,0,7304,0,0,0,0
α-Hyodeoxycholic acid methyl ester .1,0,0,0,0,0,31465,0,0,182669,0,0,29807,0,0,0,0
α-Hyodeoxycholic acid methyl ester .2,170150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .5,0,0,0,0,0,0,0,0,0,0,0,0,0,61532,0,0
α-Hyodeoxycholic acid methyl ester .6,0,0,0,0,0,0,0,0,0,64559,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .7,0,0,0,0,0,10307,0,11108,3662,10891,25466,11725,0,131889,0,0
β-Hyodeoxycholic acid,0,0,0,0,0,0,0,0,1254,0,0,0,0,0,11549,0
β-Hyodeoxycholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.2,88809,147257,0,0,0,0,0,10853,0,0,0,0,343100,0,379589,0
β-Hyodeoxycholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.5,0,0,8782,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.7,68062,32568,0,27764,0,0,2879,0,101711,14031,101495,0,0,0,0,47177
β-Hyodeoxycholic acid.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.10,66496,79972,57709,0,0,30509,15647,26550,0,0,0,0,33013,28413,0,0
β-Hyodeoxycholic acid.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.13,0,0,0,61015,0,31600,0,0,35887,0,0,25608,38919,0,20964,0
β-Hyodeoxycholic acid.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40940
β-Hyodeoxycholic acid.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.16,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.19,14060,0,0,0,24708,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.3,0,0,0,117574,33106,26414,117255,214638,0,0,199001,0,205637,39873,0,0
β-Muricholic acid.4,0,3930,0,0,0,0,0,0,0,0,2649,0,0,0,0,5292
β-Muricholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.9,15856,0,0,37372,35430,0,0,0,0,46396,0,0,0,0,0,67399
β-Muricholic acid.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.13,16205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30279,0
γ-Muricholic acid,0,0,0,0,3144,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.2,0,5880,0,0,0,1412,0,0,0,0,0,2426,0,0,0,0
γ-Muricholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.4,402370,548299,0,255058,0,0,194147,53187,0,205211,194196,358688,0,0,221248,0
γ-Muricholic acid.5,0,0,207516,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.6,112175,108148,41328,59758,21318,85512,23086,26624,149056,119196,20571,7880,22207,47731,0,28623
γ-Muricholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.8,0,0,39485,58452,0,48196,25282,50059,55831,0,45907,31625,0,64737,79242,0
γ-Muricholic acid.9,0,62473,0,0,0,0,0,0,53752,0,0,0,0,0,0,0
γ-Muricholic acid.10,0,0,48894,26121,0,0,0,0,0,29690,46670,0,0,0,0,0
γ-Muricholic acid.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.13,46584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.15,0,0,0,0,0,0,0,0,0,0,0,48595,0,0,0,0
γ-Muricholic acid.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5832,0,0
3β-Hydroxy-5-cholenoic acid.2,5460,0,0,0,0,0,0,0,4940,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chenodeoxycholic acid,0,0,0,0,0,0,0,0,26887,3476,19533,0,0,0,0,0
Cholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.1,6249,0,0,0,0,0,0,1398,0,0,0,0,0,0,7472,0
Cholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.6,0,0,0,41792,0,0,0,0,0,0,0,68451,0,0,0,0
Cholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,0,51332,0,35289
Cholic acid.8,118081,0,137665,0,157834,141839,0,0,189880,80780,24883,0,0,94659,160705,106190
Cholic acid.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.11,0,53471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid methyl ester,5280,16585,0,20559,18689,39125,28567,43393,94434,0,0,178946,35559,14499,0,14758
Cholic acid methyl ester.1,0,12398,0,0,0,0,2224,8787,25113,0,0,9559,0,0,0,0
Cholic acid methyl ester.2,0,10377,0,8438,0,7093,0,2748,12782,0,0,0,3447,2712,0,0
Deoxycholic acid,0,0,52457,0,0,0,0,0,0,0,0,0,0,9671,59997,29946
Deoxycholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,26327,0,0
Deoxycholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14),47386,19660,132827,23157,33365,22510,0,18677,76916,55157,133307,14444,6673,0,72754,80914
12-Ketodeoxycholic acid (NIST14).1,0,0,0,0,0,0,0,0,0,0,0,10374,0,0,0,12468
12-Ketodeoxycholic acid (NIST14).2,464774,412652,307968,242794,66218,187495,215895,254243,455667,482999,614008,325966,295384,301893,311264,312413
12-Ketodeoxycholic acid (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14).4,95579,0,0,0,111751,0,0,0,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41221,0
3β-Hydroxy-5-cholenoic acid (NIST14),0,0,0,0,0,0,0,0,0,0,0,53889,3746,77377,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).1,475567,932729,376167,214591,238205,208948,0,226107,99467,401534,741010,318386,129176,131467,169875,300681
3β-Hydroxy-5-cholenoic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).3,10489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).4,0,181850,0,86772,0,62663,25640,20380,0,0,0,0,90568,69872,0,31453
3β-Hydroxy-5-cholenoic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).6,0,0,0,23286,0,0,0,0,627305,0,0,0,0,0,0,29509
3β-Hydroxy-5-cholenoic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14),0,0,0,7630,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).3,0,0,0,0,0,0,0,0,0,0,6209,0,0,0,0,0
Cholic acid (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).7,0,0,0,0,0,7378,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).10,0,0,0,5973,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).12,0,0,0,0,0,0,0,0,0,0,0,0,65913,0,0,0
Cholic acid (NIST14).13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).14,36906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).17,24090,0,0,0,0,0,0,0,15375,0,0,0,0,37494,9676,0
Cholic acid (NIST14).18,3276,0,0,0,0,0,0,0,0,0,0,0,0,5057,0,0
Cholic acid (NIST14).19,0,2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).21,0,0,0,0,0,0,0,0,0,0,0,0,0,4944,0,0
Deoxycholic acid (NIST14),0,113278,14979,44786,35520,43391,0,6367,34211,43725,60859,43704,0,83887,0,0
Deoxycholic acid (NIST14).1,33943,21873,17555,11920,3556,18412,10244,0,0,217599,1228,91320,50512,0,11687,5069
Deoxycholic acid (NIST14).2,0,0,0,0,121896,148882,0,118710,821752,300215,448111,0,27209,0,0,2431
Deoxycholic acid (NIST14).3,20334,0,262019,78737,0,95391,0,82163,0,21667,34757,0,222082,548303,50764,0
Deoxycholic acid (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).5,397109,525989,0,279259,62564,0,109536,0,0,14778,23851,148568,0,35603,271701,312499
Deoxycholic acid (NIST14).6,0,0,0,6192,7346,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).8,161410,157303,0,0,0,0,0,0,70011,21079,27858,0,0,0,0,0
Deoxycholic acid (NIST14).9,0,0,0,0,0,0,0,0,0,0,44157,0,0,0,0,0
Deoxycholic acid (NIST14).10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142207,0
Deoxycholic acid (NIST14).11,0,91229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid (NIST14).12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithocholic acid (NIST14),5286,14739,12070,4048,8364,0,0,0,21212,5546,17213,0,0,6435,0,6585
Tauroursodeoxycholic acid (NIST14),4507,0,0,0,0,0,665,0,0,0,2613,0,0,0,0,0
Tauroursodeoxycholic acid (NIST14).1,15014,0,0,0,0,0,0,0,0,0,24271,0,0,0,0,0
Tauroursodeoxycholic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid (NIST14),0,0,45457,0,0,0,0,0,86238,25527,0,0,0,0,0,0
Taurocholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.2,3765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurocholic acid.4,0,0,0,0,3899,0,3876,0,0,0,0,0,0,0,0,5392
Tauroursodeoxycholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid,0,0,0,82123,0,0,0,19889,0,47233,0,0,0,0,0,0
Ursocholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,137207,0,0
Ursocholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursocholic acid.6,0,0,0,0,0,0,0,0,53690,0,0,0,0,0,0,0
Ursocholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid,0,0,7114,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursodeoxycholic acid.2,0,0,0,0,0,0,27155,26857,0,0,53377,54155,0,0,34302,0
Ursodeoxycholic acid.3,0,0,0,0,0,0,0,0,0,0,0,30116,0,0,0,0