OTUID,α-Hyodeoxycholic acid methyl ester,α-Hyodeoxycholic acid methyl ester .1,α-Hyodeoxycholic acid methyl ester .2,α-Hyodeoxycholic acid methyl ester .3,α-Hyodeoxycholic acid methyl ester .4,α-Hyodeoxycholic acid methyl ester .5,α-Hyodeoxycholic acid methyl ester .6,α-Hyodeoxycholic acid methyl ester .7,β-Hyodeoxycholic acid,β-Hyodeoxycholic acid.1,β-Hyodeoxycholic acid.2,β-Hyodeoxycholic acid.3,β-Hyodeoxycholic acid.4,β-Hyodeoxycholic acid.5,β-Hyodeoxycholic acid.6,β-Hyodeoxycholic acid.7,β-Hyodeoxycholic acid.8,β-Hyodeoxycholic acid.9,β-Hyodeoxycholic acid.10,β-Hyodeoxycholic acid.11,β-Hyodeoxycholic acid.12,β-Hyodeoxycholic acid.13,β-Hyodeoxycholic acid.14,β-Hyodeoxycholic acid.15,β-Hyodeoxycholic acid.16,β-Hyodeoxycholic acid.17,β-Hyodeoxycholic acid.18,β-Hyodeoxycholic acid.19,β-Hyodeoxycholic acid.20,β-Muricholic acid,β-Muricholic acid.1,β-Muricholic acid.2,β-Muricholic acid.3,β-Muricholic acid.4,β-Muricholic acid.5,β-Muricholic acid.6,β-Muricholic acid.7,β-Muricholic acid.8,β-Muricholic acid.9,β-Muricholic acid.10,β-Muricholic acid.11,β-Muricholic acid.12,β-Muricholic acid.13,β-Muricholic acid.14,γ-Muricholic acid,γ-Muricholic acid.1,γ-Muricholic acid.2,γ-Muricholic acid.3,γ-Muricholic acid.4,γ-Muricholic acid.5,γ-Muricholic acid.6,γ-Muricholic acid.7,γ-Muricholic acid.8,γ-Muricholic acid.9,γ-Muricholic acid.10,γ-Muricholic acid.11,γ-Muricholic acid.12,γ-Muricholic acid.13,γ-Muricholic acid.14,γ-Muricholic acid.15,γ-Muricholic acid.16,3β-Hydroxy-5-cholenoic acid,3β-Hydroxy-5-cholenoic acid.1,3β-Hydroxy-5-cholenoic acid.2,3β-Hydroxy-5-cholenoic acid.3,Chenodeoxycholic acid,Cholic acid,Cholic acid.1,Cholic acid.2,Cholic acid.3,Cholic acid.4,Cholic acid.5,Cholic acid.6,Cholic acid.7,Cholic acid.8,Cholic acid.9,Cholic acid.10,Cholic acid.11,Cholic acid methyl ester,Cholic acid methyl ester.1,Cholic acid methyl ester.2,Deoxycholic acid,Deoxycholic acid.1,Deoxycholic acid.2,12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14).1,12-Ketodeoxycholic acid (NIST14).2,12-Ketodeoxycholic acid (NIST14).3,12-Ketodeoxycholic acid (NIST14).4,12-Ketodeoxycholic acid (NIST14).5,3β-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).3,3β-Hydroxy-5-cholenoic acid (NIST14).4,3β-Hydroxy-5-cholenoic acid (NIST14).5,3β-Hydroxy-5-cholenoic acid (NIST14).6,3β-Hydroxy-5-cholenoic acid (NIST14).7,Cholic acid (NIST14),Cholic acid (NIST14).1,Cholic acid (NIST14).2,Cholic acid (NIST14).3,Cholic acid (NIST14).4,Cholic acid (NIST14).5,Cholic acid (NIST14).6,Cholic acid (NIST14).7,Cholic acid (NIST14).8,Cholic acid (NIST14).9,Cholic acid (NIST14).10,Cholic acid (NIST14).11,Cholic acid (NIST14).12,Cholic acid (NIST14).13,Cholic acid (NIST14).14,Cholic acid (NIST14).15,Cholic acid (NIST14).16,Cholic acid (NIST14).17,Cholic acid (NIST14).18,Cholic acid (NIST14).19,Cholic acid (NIST14).20,Cholic acid (NIST14).21,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14).1,Deoxycholic acid (NIST14).2,Deoxycholic acid (NIST14).3,Deoxycholic acid (NIST14).4,Deoxycholic acid (NIST14).5,Deoxycholic acid (NIST14).6,Deoxycholic acid (NIST14).7,Deoxycholic acid (NIST14).8,Deoxycholic acid (NIST14).9,Deoxycholic acid (NIST14).10,Deoxycholic acid (NIST14).11,Deoxycholic acid (NIST14).12,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Tauroursodeoxycholic acid (NIST14).2,Ursodeoxycholic acid (NIST14),Taurocholic acid,Taurocholic acid.1,Taurocholic acid.2,Taurocholic acid.3,Taurocholic acid.4,Tauroursodeoxycholic acid,Ursocholic acid,Ursocholic acid.1,Ursocholic acid.2,Ursocholic acid.3,Ursocholic acid.4,Ursocholic acid.5,Ursocholic acid.6,Ursocholic acid.7,Ursodeoxycholic acid,Ursodeoxycholic acid.1,Ursodeoxycholic acid.2,Ursodeoxycholic acid.3, f__Ruminococcaceae, g__Parabacteroides, f__Lachnospiraceae, f__Coriobacteriaceae, f__Lachnospiraceae.1, g__Lactobacillus, f__Lachnospiraceae.2, g__Clostridium, f__Rikenellaceae, f__Lachnospiraceae.3, f__Lachnospiraceae.4, g__Ruminococcus, g__Clostridium.1, g__Allobaculum, g__Ruminococcus.1, g__Oscillospira, f__Lachnospiraceae.5, g__Odoribacter, g__Anaerostipes, g__Lactobacillus.1, f__S24-7, g__Coprococcus, f__Lachnospiraceae.6, f__Lachnospiraceae.7, g__Parabacteroides.1, f__Lachnospiraceae.8, g__Candidatus Arthromitus, g__[Ruminococcus], g__Akkermansia, g__Oscillospira.1, f__Lachnospiraceae.9, f__S24-7.1, g__Oscillospira.2, f__S24-7.2, g__Oscillospira.3, g__Lactobacillus.2, f__Lachnospiraceae.10, g__Oscillospira.4, g__Alistipes, f__Ruminococcaceae.1, f__Lachnospiraceae.11, g__Anaeroplasma, f__Lachnospiraceae.12, g__Ruminococcus.2, g__Dorea, f__Lachnospiraceae.13, f__Lachnospiraceae.14, f__Rikenellaceae.1, f__Ruminococcaceae.2, f__Ruminococcaceae.3, f__S24-7.3,Week,Category
570.T5,0,0,170150,0,0,0,0,0,0,0,88809,0,0,0,0,68062,0,0,66496,0,0,0,0,0,0,0,0,14060,0,0,0,0,0,0,0,0,0,0,15856,0,0,0,16205,0,0,0,0,0,402370,0,112175,0,0,0,0,0,0,46584,0,0,0,0,0,5460,0,0,0,6249,0,0,0,0,0,0,118081,0,0,0,5280,0,0,0,0,0,47386,0,464774,0,95579,0,0,475567,0,10489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36906,0,0,24090,3276,0,0,0,0,33943,0,20334,0,397109,0,0,161410,0,0,0,0,5286,4507,15014,0,0,0,0,3765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,19,65,0,0,0,0,0,0,80,0,91,75,18,172,0,62,0,258,0,60,80,0,136,0,0,471,0,317,40,0,0,304,0,0,78,65,0,0,0,0,91,0,32,0,0,195,5,Placebo
571.T5,0,0,0,0,0,0,0,0,0,0,147257,0,0,0,0,32568,0,0,79972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3930,0,0,0,0,0,0,0,0,0,0,0,0,5880,0,548299,0,108148,0,0,62473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53471,16585,12398,10377,0,0,0,19660,0,412652,0,0,0,0,932729,0,0,181850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145,0,0,113278,21873,0,0,0,525989,0,0,157303,0,0,91229,0,14739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,166,0,0,29,0,497,894,47,847,24,341,151,0,0,120,38,0,0,35,0,0,0,0,98,0,224,24,0,160,50,111,0,29,339,119,0,0,0,118,0,107,96,105,0,124,221,39,21,140,5,Placebo
572.T5,0,0,0,0,0,0,0,0,0,0,0,0,0,8782,0,0,0,0,57709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207516,41328,0,39485,0,48894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137665,0,0,0,0,0,0,52457,0,0,132827,0,307968,0,0,0,0,376167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14979,17555,0,262019,0,0,0,0,0,0,0,0,0,12070,0,0,0,45457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7114,0,0,0,16,24,0,0,0,51,0,1311,396,0,75,0,282,0,76,0,201,229,70,0,52,180,208,131,18,139,13,1036,16,76,332,0,124,0,0,202,0,0,0,0,0,0,0,149,84,75,334,0,0,0,0,5,Placebo
573.T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27764,0,0,0,0,0,61015,0,0,0,0,0,0,0,0,0,0,117574,0,0,0,0,0,37372,0,0,0,0,0,0,0,0,0,255058,0,59758,0,58452,0,26121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41792,0,0,0,0,0,20559,0,8438,0,0,0,23157,0,242794,0,0,0,0,214591,0,0,86772,0,23286,0,7630,0,0,0,0,0,0,0,0,0,5973,0,0,0,0,0,0,0,0,0,0,0,44786,11920,0,78737,0,279259,6192,0,0,0,0,0,0,4048,0,0,0,0,0,0,0,0,0,0,82123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,137,0,534,0,0,0,0,0,0,0,0,0,2,204,50,57,0,255,0,21,0,0,274,58,67,385,0,141,70,0,203,0,0,0,0,44,0,0,0,0,141,140,0,0,0,112,5,Placebo
574.T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,0,0,24708,0,0,0,0,33106,0,0,0,0,0,35430,0,0,0,0,0,3144,0,0,0,0,0,21318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157834,0,0,0,18689,0,0,0,0,0,33365,0,66218,0,111751,0,0,238205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35520,3556,121896,0,0,62564,7346,0,0,0,0,0,0,8364,0,0,0,0,0,0,0,0,3899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,51,88,0,259,412,62,0,0,34,41,0,0,124,0,0,0,33,0,0,168,0,54,496,0,127,125,0,220,0,0,15,68,92,0,0,0,0,0,0,0,41,125,122,5,Placebo
575.T5,0,31465,0,0,0,0,0,10307,0,0,0,0,0,0,0,0,0,0,30509,0,0,31600,0,0,0,0,0,0,0,0,0,0,26414,0,0,0,0,0,0,0,0,0,0,0,0,0,1412,0,0,0,85512,0,48196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141839,0,0,0,39125,0,7093,0,0,0,22510,0,187495,0,0,0,0,208948,0,0,62663,0,0,0,0,0,0,0,0,0,0,7378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43391,18412,148882,95391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,43,0,578,0,89,0,205,94,176,51,67,32,0,0,0,71,0,0,0,0,40,9,337,0,0,108,44,132,93,22,175,0,132,0,56,57,0,0,0,0,0,225,0,0,128,85,5,Placebo
576.T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2879,0,0,15647,0,0,0,0,0,0,0,0,0,0,0,0,0,117255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194147,0,23086,0,25282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28567,2224,0,0,0,0,0,0,215895,0,0,0,0,0,0,0,25640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10244,0,0,0,109536,0,0,0,0,0,0,0,0,665,0,0,0,0,0,0,0,3876,0,0,0,0,0,0,0,0,0,0,0,27155,0,78,0,0,0,0,6,0,131,0,0,0,0,0,0,52,0,0,0,123,0,26,68,0,0,0,54,24,131,0,0,549,0,82,0,120,296,0,165,20,45,0,496,0,0,0,0,517,49,0,0,0,5,Placebo
577.T5,0,0,0,0,0,0,0,11108,0,0,10853,0,0,0,0,0,0,0,26550,0,0,0,0,0,0,0,0,0,0,0,0,0,214638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53187,0,26624,0,50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,0,0,0,0,0,0,0,0,0,0,43393,8787,2748,0,0,0,18677,0,254243,0,0,0,0,226107,0,0,20380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6367,0,118710,82163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19889,0,0,0,0,0,0,0,0,0,26857,0,75,0,0,0,60,0,0,529,197,0,0,0,37,0,93,129,23,0,124,0,30,0,0,132,0,62,0,27,6,0,535,0,141,0,111,197,0,605,0,40,17,158,0,0,302,0,341,0,0,0,0,5,Placebo
578.T5,4451,182669,0,0,0,0,0,3662,1254,0,0,0,0,0,0,101711,0,0,0,0,0,35887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149056,0,55831,53752,0,0,0,0,0,0,0,0,0,4940,0,26887,0,0,0,0,0,0,0,0,189880,0,0,0,94434,25113,12782,0,0,0,76916,0,455667,0,0,0,0,99467,0,0,0,0,627305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15375,0,0,0,0,34211,0,821752,0,0,0,0,0,70011,0,0,0,0,21212,0,0,0,86238,0,0,0,0,0,0,0,0,0,0,0,0,53690,0,0,0,0,0,0,18,0,14,0,27,47,478,0,36,0,0,0,34,0,42,27,0,40,0,67,71,50,0,54,77,2,0,4,47,525,5,160,0,0,214,16,67,0,77,145,5,0,0,0,73,184,29,35,0,44,5,Letrozole
580.T5,0,0,0,0,0,0,64559,10891,0,0,0,0,0,0,0,14031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46396,0,0,0,0,0,0,0,0,0,205211,0,119196,0,0,0,29690,0,0,0,0,0,0,0,0,0,0,3476,0,0,0,0,0,0,0,0,80780,0,0,0,0,0,0,0,0,0,55157,0,482999,0,0,0,0,401534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43725,217599,300215,21667,0,14778,0,0,21079,0,0,0,0,5546,0,0,0,25527,0,0,0,0,0,0,47233,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,108,751,91,2143,50,0,0,0,231,0,39,0,12,20,0,0,57,83,0,0,0,0,0,0,267,0,107,0,0,0,79,400,38,172,0,49,0,21,139,0,58,64,0,98,30,0,95,5,Letrozole
581.T5,0,0,0,0,0,0,0,25466,0,0,0,0,0,0,0,101495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199001,2649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194196,0,20571,0,45907,0,46670,0,0,0,0,0,0,0,0,0,0,19533,0,0,0,0,0,0,0,0,24883,0,0,0,0,0,0,0,0,0,133307,0,614008,0,0,0,0,741010,0,0,0,0,0,0,0,0,0,6209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60859,1228,448111,34757,0,23851,0,0,27858,44157,0,0,0,17213,2613,24271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53377,0,19,28,157,0,0,227,0,310,0,0,0,0,0,0,46,0,11,0,0,17,40,0,0,94,0,77,0,159,64,45,0,0,51,0,187,484,33,0,0,37,56,0,58,0,58,0,0,87,26,0,120,5,Letrozole
582.T5,7304,29807,0,0,0,0,0,11725,0,0,0,0,0,0,0,0,0,0,0,0,0,25608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2426,0,358688,0,7880,0,31625,0,0,0,0,0,0,48595,0,0,0,0,0,0,0,0,0,0,0,0,68451,0,0,0,0,0,178946,9559,0,0,0,0,14444,10374,325966,0,0,0,53889,318386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43704,91320,0,0,0,148568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54155,30116,35,46,0,56,67,39,171,613,58,0,0,0,0,490,50,77,0,0,135,0,0,0,0,0,51,170,0,0,77,31,1248,0,114,0,34,150,0,96,0,39,47,24,0,0,32,73,248,0,41,0,163,5,Letrozole
583.T5,0,0,0,0,0,0,0,0,0,0,343100,0,0,0,0,0,0,0,33013,0,0,38919,0,0,0,0,0,0,0,0,0,0,205637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35559,0,3447,0,0,0,6673,0,295384,0,0,0,3746,129176,0,0,90568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65913,0,0,0,0,0,0,0,0,0,0,50512,27209,222082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,86,0,0,120,0,0,0,23,177,0,70,0,0,0,0,0,0,146,290,0,166,0,62,29,0,0,21,55,15,0,22,0,0,0,0,0,120,86,0,63,156,5,Letrozole
584.T5,0,0,0,0,0,61532,0,131889,0,0,0,0,0,0,0,0,0,0,28413,0,0,0,0,0,0,0,0,0,0,0,0,0,39873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47731,0,64737,0,0,0,0,0,0,0,0,0,5832,0,0,0,0,0,0,0,0,0,0,51332,94659,0,0,0,14499,0,2712,9671,26327,0,0,0,301893,0,0,0,77377,131467,0,0,69872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37494,5057,0,0,4944,83887,0,0,548303,0,35603,0,0,0,0,0,0,0,6435,0,0,0,0,0,0,0,0,0,0,0,0,0,137207,0,0,0,0,0,0,0,0,19,20,0,0,77,22,0,3860,139,0,0,0,0,0,0,0,0,0,0,0,46,0,0,101,0,58,0,0,10,0,225,0,0,0,173,289,0,145,0,41,0,67,0,0,0,121,280,333,0,0,0,5,Letrozole
585.T5,0,0,0,0,0,0,0,0,11549,0,379589,0,0,0,0,0,0,0,0,0,0,20964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30279,0,0,0,0,221248,0,0,0,79242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7472,0,0,0,0,0,0,160705,0,0,0,0,0,0,59997,0,0,72754,0,311264,0,0,41221,0,169875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9676,0,0,0,0,0,11687,0,50764,0,271701,0,0,0,0,142207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34302,0,0,17,76,0,99,0,0,13047,0,0,0,0,0,0,95,65,0,0,0,0,0,0,0,66,0,153,0,0,0,0,323,0,95,0,42,108,0,251,0,55,61,0,0,91,0,203,181,86,0,0,0,5,Letrozole
586.T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47177,0,0,0,0,0,0,40940,0,0,0,0,0,0,0,0,0,0,5292,0,0,0,0,67399,0,0,0,0,0,0,0,0,0,0,0,28623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35289,106190,0,0,0,14758,0,0,29946,0,0,80914,12468,312413,0,0,0,0,300681,0,0,31453,0,29509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5069,2431,0,0,312499,0,0,0,0,0,0,0,6585,0,0,0,0,0,0,0,0,5392,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,62,0,396,0,58,57,124,0,0,0,0,0,0,180,0,92,0,81,0,38,0,0,93,110,34,194,0,0,61,0,346,0,0,0,47,67,43,0,0,0,47,99,39,33,66,268,5,Letrozole
