OTUID	570.T5	571.T5	572.T5	573.T5	574.T5	575.T5	576.T5	577.T5	578.T5	580.T5	581.T5	582.T5	583.T5	584.T5	585.T5	586.T5	588.T5	589.T5	590.T5	591.T5	592.T5	593.T5	594.T5	595.T5	596.T5	597.T5	598.T5	599.T5
1bbef1070bedf0db507fb6c7b5c28fff	434	347	509	371	499	469	0	0	499	168	314	512	597	189	78	789	608	0	278	120	572	63	124	521	413	317	256	396
54843b106b5061dc17ca8f371d357b44	523	355	0	330	494	530	166	0	574	143	218	442	486	152	48	613	544	0	263	143	531	56	80	440	394	406	335	438
ff3c4e848cb548750221af3deb5389dc	544	508	0	196	454	384	0	0	410	111	161	179	388	93	62	376	327	0	232	122	370	39	59	318	210	577	477	480
646c18c31a1f6154773b7b8e64b5c658	480	437	0	288	559	330	0	230	606	122	177	288	490	128	131	484	433	0	272	93	381	43	70	422	222	482	375	440
5171cbfbcd1781f0d7e7a7bdb94fb126	408	297	0	292	395	361	0	0	474	117	199	378	477	169	119	547	466	0	289	127	435	49	97	465	292	361	253	409
74803c74b50392f83753468b9235c931	397	426	0	259	437	349	132	0	343	111	148	217	376	129	40	441	376	0	246	110	389	50	77	319	222	465	282	462
2a2bbfefccc170850029ee0b903a7301	439	400	0	175	503	234	33	0	278	71	114	128	429	104	59	319	225	0	192	98	341	38	56	252	123	763	412	419
b90340baf132ddf80f4a342d544f1b03	355	289	0	200	475	272	0	0	334	115	150	241	379	112	44	436	327	0	184	110	403	41	70	360	181	479	274	374
e305ca72b43b91c7a701c947a71ef4b7	372	389	0	169	420	250	0	0	314	80	110	136	384	54	52	272	243	0	151	88	336	27	53	259	141	596	326	416
ad4f3211c1c7fd39e69c4a22600a9475	266	237	0	215	389	280	76	0	244	111	152	269	446	123	57	489	382	0	192	98	417	42	73	371	210	353	192	330
5a3a6d477b5fb489d2f7317edcd9b9cc	251	227	0	242	329	278	0	0	308	112	160	289	407	111	36	459	351	0	145	86	371	116	53	310	246	244	123	288
cf32fb1a1851ffab51de8b752990d321	189	144	163	343	288	348	66	125	207	348	314	125	158	158	156	231	153	98	172	99	243	105	132	150	258	118	86	139
0f54807ebcdb7fa491db917beeb3595e	254	174	155	300	295	316	92	126	219	254	225	72	154	116	0	204	122	111	121	108	211	85	103	0	204	132	95	150
3440e49bbd5cc4432ab49dd963d49bcd	104	138	72	167	120	172	79	109	84	257	180	95	54	167	65	73	200	148	112	103	212	75	195	78	202	59	0	62
cc3ff094f1c3297ae1c88cab123ca109	113	151	78	142	137	196	88	125	114	258	147	103	41	119	49	87	163	144	100	86	185	47	162	63	179	96	163	81
de99c650af737e28dff50e5c852ebb84	218	202	130	169	266	218	90	107	160	172	167	44	143	79	0	120	95	104	122	70	171	56	70	23	135	213	152	199
280f71fdbdabf1d2c4fd57cb3e93ed43	126	196	66	75	144	123	76	117	88	139	96	39	44	97	0	43	97	112	101	95	128	33	93	0	100	129	96	71
37835e4fbbd6bb6b2f6dbbbad70f9372	109	52	120	245	67	140	78	44	130	280	203	150	122	126	91	0	140	91	141	95	164	81	113	50	88	63	0	64
439e4f84c2a2e0c0f39e67ceabe0632a	50	94	46	286	68	123	73	55	84	139	123	74	0	63	110	73	83	111	59	84	73	80	79	126	94	0	48	76
7a82038a2a87643382fdc201dacb1009	0	137	134	0	43	0	0	0	0	280	68	115	0	92	157	117	0	151	0	0	0	0	0	70	0	42	0	97
97855d38c5ce75bc28db3201640ab0b2	63	0	171	179	77	100	108	101	53	0	109	102	82	57	0	145	67	79	0	32	87	190	0	57	168	53	89	0
88b905e812e0d73b7a740796f1969218	55	62	79	120	103	97	0	52	164	205	131	101	0	98	0	194	135	131	0	0	119	109	96	178	139	40	0	48
4c7ad9177b8f808b98713da6557b7bf1	0	270	0	317	0	0	0	330	0	87	375	0	0	112	224	210	524	0	174	0	0	0	0	0	107	0	0	0
4a9c16d3ce654f02a454cdea74b597bb	0	66	63	0	66	107	0	70	140	95	114	142	110	82	0	0	157	126	86	53	60	41	117	0	99	52	97	103
be43da52e9710f5f0179d39616a0cd02	166	0	112	103	63	80	54	0	94	93	133	232	159	224	60	46	112	150	0	52	74	91	137	0	196	58	121	139
b9c08a80084a5817a32ad811704367c4	172	0	126	0	0	86	82	65	0	273	139	0	0	280	69	153	177	292	70	67	67	100	106	43	242	86	168	222
af445601ff19932662af5c837b079065	92	48	117	177	91	109	90	68	137	240	171	129	107	105	0	161	129	123	127	123	160	94	91	38	91	79	76	81
e5180ec90317980d3120ca519bda5e5e	111	0	125	426	196	131	80	63	52	211	99	0	0	205	109	116	130	252	59	0	78	93	81	42	201	78	241	246
9262057290033adeed0ee63ad7d0870c	103	86	102	123	77	156	86	81	112	164	129	57	77	65	0	0	127	53	125	103	118	40	72	29	103	109	114	92
5316280028c25084443f731768aa5707	253	68	0	0	60	0	33	0	0	0	84	42	34	0	0	115	0	0	67	37	0	0	0	64	160	54	0	0
030b340f702523604f24be192ae18439	94	52	121	192	75	82	82	74	141	239	163	98	83	117	0	0	91	57	145	99	123	65	91	0	68	73	121	85
ae6f858a33e49815fcd83690ada389c8	0	0	0	187	173	0	0	0	0	335	373	0	0	353	0	0	312	409	78	184	0	0	0	0	0	0	0	0
dd9638b9f5a15e2a9d6394ad04444d21	68	90	66	115	89	117	0	0	54	133	72	74	37	57	0	0	141	96	257	0	107	75	75	0	122	0	0	0
e3e20348b3527232a0c237f9d7811f3c	45	50	197	49	106	63	102	104	82	242	89	91	92	0	0	125	74	144	0	119	72	0	118	61	0	70	61	48
6822dc1497ea5724bc61e02b3cf0511f	92	36	44	50	114	90	120	61	52	241	0	137	126	377	0	216	128	111	96	89	107	91	140	53	101	49	29	54
2e644a61d0aedb0afba39a04177de7f4	130	57	54	154	54	77	89	62	42	72	74	0	142	51	0	0	56	80	47	48	62	34	69	37	53	54	144	86
0cc8dadc34650e1d79815b5f3fab5efe	216	0	0	176	58	87	104	87	121	79	139	108	55	75	136	0	194	165	132	108	94	50	115	41	152	0	82	106
35782ee448589c93a59ce4719dafc0f2	116	234	144	0	56	142	120	44	54	164	84	0	0	184	44	74	127	159	151	173	42	49	60	95	151	110	251	228
36c7395784ef4aee8b64edeb937ba621	60	0	0	269	0	0	0	98	0	164	123	147	0	0	260	0	182	0	111	128	0	12	0	118	0	0	0	0
564bb4db498125e08f141d6e48c9dcc7	166	0	68	86	47	130	48	105	66	71	69	190	0	180	111	48	80	139	201	73	131	129	0	36	46	0	103	86
66bbba590630ffe63f0c083472189619	77	52	88	145	61	71	47	55	118	91	124	126	0	48	0	0	97	112	66	58	80	39	60	0	69	40	0	67
9fb556645444d1f9d5c124e5c343ee7b	0	56	0	121	93	189	104	85	109	114	128	109	70	187	0	0	85	142	126	50	123	85	146	0	138	0	0	0
0c7ce3bfe1a4347ffec132b70d3833a9	0	73	36	133	108	98	99	62	84	227	247	60	136	0	0	197	156	162	83	93	111	60	124	91	74	51	52	0
d4a552739e270b6188e83103b91ef909	0	71	0	0	36	214	108	0	0	0	0	23	0	25	0	0	0	0	0	0	0	0	0	44	0	54	0	0
562438981c3292e786f329b2c84e4cb7	55	75	75	0	0	0	0	94	225	0	95	120	0	0	186	0	0	0	0	0	0	0	0	91	58	0	0	0
6fee28a58b63200768d9fdbfaa9ebea1	100	0	113	145	0	163	89	69	195	202	78	0	0	230	55	93	135	196	62	0	63	64	77	104	194	83	187	185
577c52c4a197b72ab9b700df942d53f8	0	51	99	40	105	101	106	76	104	204	26	40	116	0	0	122	113	118	88	66	111	54	93	37	84	86	53	0
e19798f8cfd40879dd24a317312bde7b	0	47	159	70	71	86	0	93	139	0	255	0	57	73	66	81	122	207	0	60	0	133	135	0	106	78	0	0
e5e4068cb7d7c0101908b81c1106084c	82	94	42	118	94	89	0	0	75	73	95	0	0	45	0	0	120	106	0	177	77	48	55	0	93	136	307	72
40b98f89d88946c7fef1c79ce1ed80f8	101	153	107	113	76	66	78	0	0	148	78	0	0	189	47	79	105	173	51	0	78	51	68	0	153	104	221	229
0b2a2fd1108f186dc940c382e50a4846	89	72	95	140	84	98	95	68	95	173	141	64	77	84	0	43	100	47	115	100	128	57	71	0	72	81	136	73
932dcd7db9a5a0a103ad457d0b156708	50	70	45	0	59	71	136	90	97	73	62	0	0	82	0	150	48	54	39	48	46	0	40	0	46	69	134	111
fc340939384b5acd146d49441178af0e	80	62	50	59	93	145	105	0	0	77	166	0	180	66	0	0	122	89	0	0	73	57	90	59	82	0	0	99
b2c1c518a311037462a93c63f9dfdf95	0	0	0	0	0	0	0	0	0	0	118	150	0	60	0	185	0	0	62	0	155	79	0	65	221	0	0	0
f0238022104202ef0f46df5eee21eaf6	0	0	114	149	49	95	73	0	64	75	0	0	0	157	45	80	66	112	108	49	76	80	82	0	181	0	180	149
3ea92b169d61c716e986e62506994cdb	126	0	0	0	98	39	34	0	199	0	51	42	0	120	0	0	188	0	0	0	0	0	18	43	0	44	0	0
59989e04214c6c92107da205d77fd75a	0	73	32	314	46	0	0	0	0	0	90	0	36	0	89	126	0	0	0	50	0	0	0	48	0	51	0	0
fbd9cf7d3bc31c942a6499c91e061b6a	0	0	0	0	0	0	175	0	173	34	0	0	0	66	0	0	0	178	0	0	0	0	0	0	0	0	0	47
fec02dc924426ff759f6e00bf9d863ad	72	76	0	79	86	75	220	206	78	120	62	140	0	69	140	33	102	59	0	0	107	61	64	0	163	61	0	106
d72de21351327f57ef58860b9b39b81b	0	0	0	240	175	0	0	0	91	0	0	162	0	141	170	73	0	0	0	102	64	121	101	232	99	0	0	0
7bd0ac80d07d6f8fa2c963dfc59c31f2	57	44	167	0	92	67	110	90	54	0	58	42	71	0	0	75	0	0	150	0	50	0	0	46	0	108	59	50
6a126dc027a872af6bfe7fde7da6b492	57	0	64	91	85	87	0	140	42	69	0	38	74	48	0	47	52	0	102	0	56	0	40	0	137	0	0	50
e2016db4b16934f9f5dd4d170a365437	0	0	110	109	49	65	78	149	0	56	31	0	0	134	39	0	54	107	0	46	62	38	58	0	100	164	235	151
b4888df798f095ac7f14c614cc7a2a15	0	92	92	122	106	110	72	0	132	59	0	0	45	151	93	0	136	0	37	54	49	44	73	0	111	84	171	135
78f2a0e8a04135b8faff7e3ef1f9d88e	0	0	34	66	95	76	94	51	85	180	0	90	112	0	0	176	106	96	92	72	92	70	106	38	81	74	42	148
7c08724b21752e0ddb401a5a9a78554e	0	0	0	0	51	0	272	0	0	101	0	112	0	81	0	0	0	326	0	0	0	0	0	0	69	0	0	0
14aa1ed941114d87293f3a41fdca7ecd	46	0	47	48	97	80	123	82	53	197	0	70	128	0	0	176	97	104	115	103	90	50	101	51	86	67	72	48
dda8981fb4ba1813e13b6e63a8e26cd8	40	49	38	0	112	65	118	67	90	159	0	29	114	0	126	128	112	102	94	81	60	39	124	40	73	100	48	38
47efe892b8c48b5dd79f8bc3220443ca	0	0	133	0	67	0	0	0	0	90	258	0	130	86	31	0	356	58	93	48	147	0	87	51	112	0	0	114
7fd3cf7fb44c555f5cc0043be73104d8	48	59	45	79	66	84	0	0	33	131	71	48	0	82	0	0	99	95	111	81	78	53	96	0	105	0	62	126
20b09d01893b8fa0d699a4078565b7ef	124	65	0	0	102	81	116	91	69	124	0	0	91	0	0	122	85	85	97	71	89	63	72	42	93	140	71	168
9477eb2dee9e9d0bf0c8ae04c5ab9260	0	0	145	103	68	100	110	74	77	108	131	170	67	77	0	200	165	145	131	78	84	0	108	67	117	208	203	112
66666e2eba83ead26033d9a4a5edd08a	53	56	154	183	95	47	109	99	35	0	30	37	96	0	0	58	121	0	0	31	32	0	102	40	0	135	60	39
6f723b313dfe49e5e24e8273f0e69d06	0	61	0	0	0	0	0	210	0	0	46	0	122	0	0	47	0	0	147	134	0	0	0	53	36	56	0	44
60f65c58b8bc5dd66ab5db5c4522f964	76	45	84	99	89	69	65	56	69	100	72	0	71	50	41	0	0	65	101	92	95	36	59	0	0	142	68	67
1c346134371daba583451f711fe76e1a	0	0	0	299	160	52	49	0	104	211	0	176	47	95	0	82	120	0	44	0	0	137	112	122	207	0	0	34
83b377e12edb5bbda2b8d41e1739799d	0	243	109	70	58	98	108	91	53	106	63	0	0	95	0	76	0	93	124	56	81	0	89	0	83	102	100	59
1552406084b0c0c1f3c2e5dd59265a9b	0	0	103	80	0	59	68	45	0	100	167	0	38	184	64	129	59	71	0	51	59	74	94	0	132	68	125	114
8f19d22ebcd241e17844dd9bf34c18ef	0	0	186	0	0	0	0	0	151	0	0	0	0	0	0	217	0	0	82	0	0	0	0	0	125	0	0	0
b734bb8187882c0b6042f08b266d289b	192	53	67	76	51	49	0	0	42	113	0	137	39	56	44	60	61	311	158	34	60	0	137	170	70	0	100	0
c3034f7a46ce932a7a3ef1255f9013dd	0	86	81	0	57	52	66	98	82	0	49	0	66	145	0	81	63	0	0	83	0	0	0	74	0	0	0	104
a94ae003db4efaa9f3379eeef09d600a	0	42	58	92	116	102	120	0	69	53	218	109	73	69	0	54	135	91	63	91	54	117	52	101	65	0	91	60
56ec5cc4d0cb832b82c19eec85fb15d5	106	68	100	0	0	64	80	65	47	131	65	113	0	142	0	60	87	161	0	0	61	63	48	0	127	116	328	279
a768ef445da67c4bbf1c83a6aef3d643	0	0	69	50	43	47	0	0	76	0	241	58	92	42	0	41	128	0	0	66	37	216	0	0	57	52	0	0
422b0a2f5cff0e07d7622bb32bc50a60	0	0	48	114	98	105	99	47	84	191	0	87	107	0	0	187	123	129	109	93	83	55	96	0	83	86	61	82
0a5e1e76e629468d95cf7103e11cca8c	48	187	0	0	0	0	103	92	0	0	87	112	0	0	197	0	0	0	0	0	0	0	0	96	0	0	0	0
b2277dc80154f9fa4959f5812d34ac5f	0	197	67	80	59	64	69	0	56	65	0	0	0	147	0	0	64	0	0	55	63	45	83	0	89	64	153	139
a981780d86465164f5ccce93bff9b789	0	65	43	72	74	92	102	98	127	88	51	0	65	49	0	0	122	110	96	78	88	145	120	97	98	0	133	65
699ac093197820865775e3a63392123b	37	61	42	0	53	46	0	0	0	42	40	0	0	0	0	0	60	70	0	50	47	148	0	147	0	80	97	85
204e510b011e864f299cf4993d478c85	0	184	72	0	37	0	0	0	0	0	24	0	44	0	0	0	0	0	0	0	0	0	0	41	0	82	330	186
cb74f8bb7e9d69867067f18ae8850d0e	0	0	0	0	138	0	0	0	166	132	0	0	0	100	0	0	0	0	0	38	0	0	0	136	34	289	0	0
6b069274a2abb8ee3dfc7025d059b68b	199	91	61	177	91	75	77	54	84	186	91	122	111	0	0	139	92	89	93	75	93	37	70	48	62	94	51	39
39b44a0646335aecc771eb7d8d5fb921	0	0	129	0	0	0	31	39	46	0	178	46	99	46	0	0	93	256	54	0	47	0	42	0	0	0	31	0
c3a928d25543d20d1e561c9db95c8a66	56	0	0	0	0	0	0	102	0	0	60	87	0	0	171	0	0	0	0	0	0	0	0	69	0	0	0	0
d2722b732f9ee6167db34ed6c94232b6	60	44	0	39	0	0	0	83	0	0	45	60	0	0	164	0	95	0	0	0	0	0	0	79	0	138	86	0
118108e102c809deccf452084c5b5748	0	0	0	169	133	95	0	0	0	191	66	0	42	112	0	57	0	185	0	0	0	0	0	116	79	107	51	73
8a8f453c27cfdc48c0f1ec1df064f0e0	0	0	158	340	0	277	0	0	192	163	0	234	0	64	0	0	0	203	84	52	0	156	75	71	93	0	0	86
0b25ff0a69ccb93866917a823f656ecb	0	0	0	0	88	139	0	0	0	0	107	0	35	0	0	0	0	0	0	0	154	0	0	53	51	48	0	0
479d827e7080273054d5eee9df534cd0	0	44	53	0	53	65	72	83	64	191	46	0	169	158	64	139	85	0	0	61	34	0	0	100	129	0	0	87
da786ad5e1ccbea0303e67a2418737c4	265	128	69	0	0	0	0	0	0	82	0	0	0	76	56	0	0	0	109	0	51	324	0	0	0	0	420	421
26f30d52a432c32faa6d7d141ee3a18b	0	109	0	0	99	73	112	64	60	143	0	0	100	0	0	104	80	86	97	61	69	76	53	0	48	119	74	0
6475c47b748a82b4e2a02f04f942e9c2	0	0	0	0	220	0	54	0	0	158	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172
c54baab6bd2aa64d75a9b647df7fc8ba	0	44	49	0	0	164	0	185	67	0	0	0	0	0	0	83	172	105	0	0	37	0	0	0	0	0	0	0
47e13ed5a6f8712dc0cd439dca1aa08c	0	0	38	0	0	0	0	0	0	256	0	58	0	0	0	121	0	0	0	0	0	96	0	0	0	0	0	0
49d0d7e93b41e4ce4b94977c249ae7ef	0	0	95	0	47	50	79	35	40	49	115	0	179	103	38	0	48	0	0	41	49	36	49	0	58	130	199	174
a1c837c6bf98326013d7e6a23be688ba	0	234	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0
d128f82e71088e4388bee4610f4cf4de	0	0	0	203	0	0	0	0	0	0	30	0	0	0	0	0	0	0	43	0	22	0	0	0	0	0	0	33
aa85a46ae600176364457edfc6ae2014	65	0	0	0	0	82	0	82	0	0	0	97	55	0	57	40	0	0	0	60	0	0	0	96	118	102	119	122
7513845831df8ed971745f71a4ac3fb1	0	0	0	0	0	0	49	0	0	103	0	0	0	0	0	121	0	0	0	158	0	0	0	0	0	340	184	0
bc3d4362a4202a212746fb992ef35d51	67	110	83	110	133	0	102	79	55	63	128	0	0	115	0	0	81	64	0	0	0	0	132	46	179	66	67	100
b00cdc369507236544dccb3804880bf0	61	0	84	0	68	0	0	42	0	118	55	0	0	138	0	109	75	107	0	0	47	90	68	0	86	104	202	209
775cc730ba255ad487e21b5050a032e7	43	170	115	0	0	0	0	88	0	0	38	48	0	0	187	0	0	0	0	0	0	0	0	67	0	0	0	0
a101944cfe22d9ca0abe99f03b51979e	52	96	47	0	46	0	69	101	53	0	0	0	0	95	0	0	39	0	0	90	33	0	0	0	29	47	0	98
a806f4b5cbda39695fa5af7029a1ef70	0	0	84	68	39	57	57	176	0	51	0	0	0	154	30	0	63	0	0	44	69	56	103	0	97	53	96	104
7dd186109500fdf8336153937b355042	102	103	86	0	44	0	71	0	123	80	0	0	0	105	56	0	59	103	45	0	63	0	122	0	70	185	272	256
0d697156cd5695480f8ac2012036bd30	66	69	35	0	84	47	0	0	0	63	0	0	0	41	0	121	0	0	0	0	83	48	69	114	0	90	0	48
f9b73ab4681e67d2ef74d706e6074134	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	40	140	0	154	0	0	0	0	0	0	0	0	0
40677315a80052365769b4fe4a08bb58	0	0	161	0	0	0	0	0	0	49	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7405e70dbbe809a04a3a6a585a506592	164	0	65	79	84	48	0	70	55	97	0	35	86	62	0	74	63	0	45	28	44	55	35	44	0	0	59	39
80220c4ff96f8950628142a2e581fd1e	0	0	83	0	49	58	50	60	45	46	0	0	39	124	0	0	0	29	0	44	40	40	50	0	49	111	151	106
2d04c56322be32271ee897844ff844ec	38	49	49	0	86	55	81	59	38	87	0	0	113	0	0	78	55	55	64	60	56	0	67	78	32	154	67	41
34593bd017efc5340d8a2d64671c3efc	0	41	100	0	107	65	88	61	47	124	0	0	110	0	0	140	88	67	56	71	66	31	75	28	68	106	48	0
b152d979074da990d9b489280af52965	0	0	123	0	164	0	204	0	0	108	0	0	0	170	0	0	0	0	37	108	84	0	94	0	109	87	0	0
12fe30572e040f588e9fd11cd8524ad8	0	0	55	45	69	36	169	61	0	0	100	0	83	34	115	0	0	0	28	0	53	0	0	28	0	216	0	44
8c7e26b63087ee256be111b0093d6f3e	45	140	0	176	39	71	0	95	0	0	0	0	62	0	0	0	0	0	0	91	134	0	0	0	79	143	0	62
fb3fc6723c3ed135648168e874291b8b	0	0	123	83	99	82	84	0	180	98	91	0	0	74	0	0	267	166	81	63	71	0	0	0	96	69	0	50
9a005f654d554847dd197ce28acd7476	0	133	64	0	62	0	76	79	38	0	62	0	0	100	0	33	49	0	0	71	0	0	0	0	0	0	0	79
62f956bffd6dd11d727e7e05deb08add	0	0	157	127	95	59	102	58	0	82	0	0	91	0	0	98	73	50	64	60	72	0	74	130	36	131	33	145
308e2cd842a38e889cb29cc39670604a	70	0	0	82	91	0	92	82	72	73	54	0	46	52	0	0	89	117	107	0	98	0	74	0	94	0	0	203
871cf568d041427a5faf28dec39e9f1a	0	0	0	0	0	0	101	61	0	0	97	76	36	51	0	149	45	0	89	0	40	0	0	0	0	0	0	0
d6aa4703dcc37126784cace0f17fe204	71	0	30	116	43	47	232	0	42	98	0	0	147	86	0	129	70	0	0	0	94	0	0	0	55	159	0	0
683398d19cd86e3d4c6eca2ad9cb9d9d	116	48	0	0	146	59	127	73	0	0	0	0	57	35	44	54	0	0	118	62	27	0	0	48	79	96	0	22
6cd3980e7cd587efaf7551ff2df4b377	0	0	0	52	66	0	107	67	31	0	0	0	131	0	0	0	48	65	79	57	60	0	71	34	64	154	82	52
f3cd6871041f059c8b3608e62a69b19b	0	0	0	97	84	93	52	0	0	130	115	0	0	94	0	167	0	0	103	0	73	0	0	0	105	55	0	68
37e0848ac386170603ffb706f4971fa6	0	0	0	0	0	0	0	185	0	0	0	0	0	35	0	0	0	0	27	0	0	0	0	0	0	0	0	167
ce8d166eac2f7d8c188a49987496132a	89	0	0	0	0	306	0	0	0	94	0	0	0	58	0	0	0	0	0	0	162	0	244	0	0	0	0	0
368534e4ba12b1880d2ca645975eaaee	0	0	47	65	59	68	0	0	57	64	0	0	61	44	0	45	0	114	41	0	57	0	72	0	33	73	53	64
b4a5ddff3bac30057aed6619ae3495c8	0	0	0	0	0	0	0	0	0	50	0	0	0	89	136	0	0	0	0	0	0	0	0	0	181	0	0	0
2caebef349ad9071b347ee889132bf16	0	0	52	0	48	0	63	96	0	0	0	0	0	84	166	0	0	0	0	47	0	0	0	0	0	63	214	105
4293a84720569009161eb26dc6cba31c	96	61	0	0	109	107	0	99	116	34	111	163	0	0	0	0	111	224	0	0	45	0	0	0	0	0	0	0
58142a21a2ce875ecd97114427fad0b4	40	121	0	0	41	75	0	0	110	0	0	0	0	77	0	0	49	0	57	0	41	0	72	25	105	50	0	0
7cb6594e34ff2b92d963306ce75026d2	51	71	72	0	41	0	103	104	37	85	59	0	0	75	171	53	0	89	0	0	154	123	121	34	171	75	132	61
0a5539fc1f0a39865338cfa87471f9e5	61	70	79	0	0	30	121	110	115	102	0	0	0	101	0	0	164	108	221	0	50	0	103	0	127	71	62	62
82cab18a85ae8bbdfe9ce40bbe451a40	0	193	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	22	0	0	0	55	120	0	0
f42b579011c768251beae368856bdd63	34	0	0	0	0	68	85	71	60	0	0	0	50	138	0	114	0	95	0	54	0	0	28	0	61	118	0	0
a43d99627a9f5227ca59ef788262709c	289	0	103	0	0	0	0	160	52	84	133	0	0	84	87	0	0	93	47	58	0	0	78	0	58	136	0	29
c9573ca9f79a60bebe180aa0e6b690cc	124	0	171	0	154	110	0	194	82	38	0	0	53	0	0	0	0	0	0	40	63	0	0	0	79	55	0	0
52d40ef8233eeae14230f3a6bca894f2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0
