"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"118108e102c809deccf452084c5b5748","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Bifidobacteriales"," f__Bifidobacteriaceae"," g__Bifidobacterium",0.999797840919372
"8a8f453c27cfdc48c0f1ec1df064f0e0","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99994808320073
"0b25ff0a69ccb93866917a823f656ecb","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.97361792286819
"479d827e7080273054d5eee9df534cd0","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.971646250077496
"da786ad5e1ccbea0303e67a2418737c4","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999249720955
"26f30d52a432c32faa6d7d141ee3a18b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99999924498745
"6475c47b748a82b4e2a02f04f942e9c2","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.879256557254074
"c54baab6bd2aa64d75a9b647df7fc8ba","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99994921250886
"47e13ed5a6f8712dc0cd439dca1aa08c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999266255102
"49d0d7e93b41e4ce4b94977c249ae7ef","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999411772481
"a1c837c6bf98326013d7e6a23be688ba","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.871796099847917
"d128f82e71088e4388bee4610f4cf4de","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.877396083682311
"aa85a46ae600176364457edfc6ae2014","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999958009478206
"7513845831df8ed971745f71a4ac3fb1","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.882219693401264
"bc3d4362a4202a212746fb992ef35d51","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999986017537565
"b00cdc369507236544dccb3804880bf0","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.997862979075783
"775cc730ba255ad487e21b5050a032e7","k__Bacteria"," p__Deferribacteres"," c__Deferribacteres"," o__Deferribacterales"," f__Deferribacteraceae"," g__Mucispirillum",0.999999996863608
"a101944cfe22d9ca0abe99f03b51979e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.957203292692815
"a806f4b5cbda39695fa5af7029a1ef70","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999915817174
"7dd186109500fdf8336153937b355042","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.994516709890233
"0d697156cd5695480f8ac2012036bd30","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999829777366
"f9b73ab4681e67d2ef74d706e6074134","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.881404264261769
"40677315a80052365769b4fe4a08bb58","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999012215373
"7405e70dbbe809a04a3a6a585a506592","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999945760764
"80220c4ff96f8950628142a2e581fd1e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999770672671
"2d04c56322be32271ee897844ff844ec","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999997780013081
"34593bd017efc5340d8a2d64671c3efc","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999406621916
"b152d979074da990d9b489280af52965","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999920307274953
"12fe30572e040f588e9fd11cd8524ad8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999740554562
"8c7e26b63087ee256be111b0093d6f3e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999957049872079
"fb3fc6723c3ed135648168e874291b8b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999119286589
"9a005f654d554847dd197ce28acd7476","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.953975037755061
"62f956bffd6dd11d727e7e05deb08add","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99999916907672
"308e2cd842a38e889cb29cc39670604a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999451601462
"871cf568d041427a5faf28dec39e9f1a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999995451589
"d6aa4703dcc37126784cace0f17fe204","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999959841216769
"683398d19cd86e3d4c6eca2ad9cb9d9d","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999977123970321
"6cd3980e7cd587efaf7551ff2df4b377","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999997785218619
"f3cd6871041f059c8b3608e62a69b19b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999396536563
"37e0848ac386170603ffb706f4971fa6","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.881621872047573
"ce8d166eac2f7d8c188a49987496132a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999356768648
"368534e4ba12b1880d2ca645975eaaee","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999935710749
"b4a5ddff3bac30057aed6619ae3495c8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999998871258851
"2caebef349ad9071b347ee889132bf16","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.918287133400611
"4293a84720569009161eb26dc6cba31c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99997488830038
"58142a21a2ce875ecd97114427fad0b4","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999939556831918
"7cb6594e34ff2b92d963306ce75026d2","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99997175452823
"0a5539fc1f0a39865338cfa87471f9e5","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999967742153565
"82cab18a85ae8bbdfe9ce40bbe451a40","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999336000834
"f42b579011c768251beae368856bdd63","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999957542811794
"a43d99627a9f5227ca59ef788262709c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99994026222285
"c9573ca9f79a60bebe180aa0e6b690cc","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999947989029451
"52d40ef8233eeae14230f3a6bca894f2","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.914644290465319
"555d1b0301f45e832309bc3e605d343b","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.898484237151122
"9ff00bb4afcb31850acf80e8bee165d8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999925444118
"6e1a89b33524e911a2fd887042520340","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999983951131048
"fcb584478e8e461079485a33b813844f","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999922245086333
"5ce3cfc1986bb75f1c5caad13371560e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999975855308358
"197dbf299ba610094ec0373d4032a520","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999997096986228
"07459a23004d839533d9cb04f3bda700","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999911044175
"4558ab7a03aa8ef8fc229c91a617f4d9","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Bifidobacteriales"," f__Bifidobacteriaceae"," g__Bifidobacterium",0.999719991028404
"f88e7637ec364e52e2f706914ba356fb","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999577222671
"bdb2e15ceec8fffb7828937fc693cccf","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999953849417503
"e6b01b0ad4ed8bce1f814c169cbc3a0f","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.904130893893577
"9b7931d08c62607249fe12c2b5769e79","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999967116594239
"4452885f601b589ea8a73c3b2e809558","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999926546279451
"fc9b91016b3b32f0c41f9a1e093bda80","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999914468814593
"d08ea27f7d751d71aef662d24ca84d62","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999941780517564
"12a99a655ea1b8de195d606164510143","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.90695677941997
"add6feb7ab50d5292ffdc30d3d8cbcb7","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.993677815656712
"3e5c8bf7fcc6ac8b3583d8ea5c5ed52b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999956540766459
"2fcfa1edfa38d4a8f337248ce5667dc5","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999950067659838
"a2c4afd5213886bde2df4b720b55f0b1","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999063274755
"f6ab9905c1ae9135e96bfbf1df42f1a3","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999948021326841
"578d787ea76ac5f3e84a3dbf6ec1e94f","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.879581809263534
"42264f85b88d55214c083f2afc749190","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999938945083659
"51e8edf671ca50b4fbc43f4c3ec9f50c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999995243272
"7fdcb69d17695ed0f869fde7ea0a45e4","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999995020048
"c7378e96ee51ba53a0f9238c791bb6f1","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999933100899956
"bd76b3bf06c313c1ff0c28a27411f377","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999965457630709
"1d50ba1b3f738ce7d2054ef0c39dc0d5","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999998633818317
"53cff25bf22ec0f1bf93f5d87888eb3a","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Bifidobacteriales"," f__Bifidobacteriaceae"," g__Bifidobacterium",0.999476182655082
"c5a61c5fb97d83ce12aeea183f56628f","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.951106332998793
"c3e4bcdf3c0c098f667e70290a45333c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999941503838423
"b96beaf149285190892f2b812436d6e1","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999955070040171
"4b97cbe0d243e108b5870789059ed0d7","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999996134605
"6e70fa72e2dfa67e83ae0b2ccfb64afa","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999955019225831
"f98d979df04d330a67fb4e5b98ca104d","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999961167958742
"689c12390c09b9a29cf4fb872b49edd9","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.990494824589566
"fb4ab06d1dfa87af3bbfa3cdfa43065e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999987062211
"5b11801bb8adfc9ff5e1a1960d96bc16","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999970570455669
"4b28010a343b8f259cd4e8f4c91672c8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999783794548754
"c00da10f7b1c5103b343824f9ff5937b","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Bifidobacteriales"," f__Bifidobacteriaceae"," g__Bifidobacterium",0.999628220751265
"f969f77024f652bdd33ca8aa4d348a91","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999920754331671
"7db509e298401edfc42514f0e35a48bd","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999947240806411
"31104eba47b7c647b4712e33dfeb786b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999889400889
"e2ef7cb559b4796a5ecbf979b2c6c47c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999945523217038
